I/mA	Ewe/V	P/W					Current density 	Voltage	Power density		
2.22E+03	-5.35E-01	-1.19E+00									
2.27E+03	-5.30E-01	-1.20E+00									
2.32E+03	-5.26E-01	-1.22E+00									
2.37E+03	-5.21E-01	-1.24E+00									
2.42E+03	-5.16E-01	-1.25E+00									
2.47E+03	-5.11E-01	-1.27E+00									
2.52E+03	-5.07E-01	-1.28E+00									
2.58E+03	-5.02E-01	-1.29E+00									
2.63E+03	-4.99E-01	-1.31E+00									
2.68E+03	-4.94E-01	-1.32E+00									
2.74E+03	-4.91E-01	-1.34E+00									
2.79E+03	-4.86E-01	-1.35E+00									
2.84E+03	-4.81E-01	-1.37E+00									
2.89E+03	-4.77E-01	-1.38E+00									
2.95E+03	-4.73E-01	-1.39E+00									
3.00E+03	-4.68E-01	-1.40E+00									
3.05E+03	-4.64E-01	-1.41E+00									
3.10E+03	-4.60E-01	-1.43E+00									
3.15E+03	-4.56E-01	-1.44E+00									
3.20E+03	-4.51E-01	-1.45E+00									
3.25E+03	-4.47E-01	-1.45E+00									
3.30E+03	-4.42E-01	-1.46E+00									
3.35E+03	-4.38E-01	-1.47E+00									
3.40E+03	-4.33E-01	-1.47E+00									
3.45E+03	-4.29E-01	-1.48E+00									
3.51E+03	-4.25E-01	-1.49E+00									
3.56E+03	-4.21E-01	-1.50E+00									
3.61E+03	-4.17E-01	-1.50E+00									
3.66E+03	-4.13E-01	-1.51E+00									
3.71E+03	-4.09E-01	-1.52E+00									
3.77E+03	-4.04E-01	-1.52E+00									
3.82E+03	-4.00E-01	-1.53E+00									
3.87E+03	-3.95E-01	-1.53E+00									
3.92E+03	-3.91E-01	-1.53E+00									
3.97E+03	-3.85E-01	-1.53E+00									
4.02E+03	-3.79E-01	-1.52E+00									
4.07E+03	-3.75E-01	-1.53E+00									
4.12E+03	-3.70E-01	-1.53E+00									
4.18E+03	-3.66E-01	-1.53E+00									
4.23E+03	-3.61E-01	-1.53E+00									
4.28E+03	-3.56E-01	-1.52E+00									
4.33E+03	-3.51E-01	-1.52E+00									
4.38E+03	-3.45E-01	-1.51E+00									
4.44E+03	-3.39E-01	-1.51E+00									
4.49E+03	-3.35E-01	-1.50E+00									
4.54E+03	-3.31E-01	-1.50E+00									
4.59E+03	-3.26E-01	-1.50E+00									
4.64E+03	-3.22E-01	-1.49E+00									
4.69E+03	-3.18E-01	-1.49E+00									
4.74E+03	-3.13E-01	-1.49E+00									
4.80E+03	-3.09E-01	-1.48E+00									
4.85E+03	-3.04E-01	-1.48E+00									
4.90E+03	-2.98E-01	-1.46E+00									
4.95E+03	-2.91E-01	-1.44E+00									
5.00E+03	-2.85E-01	-1.43E+00									
5.05E+03	-2.80E-01	-1.42E+00									
5.10E+03	-2.76E-01	-1.41E+00									
5.15E+03	-2.72E-01	-1.40E+00									
5.21E+03	-2.68E-01	-1.39E+00									
5.26E+03	-2.63E-01	-1.38E+00									
5.31E+03	-2.58E-01	-1.37E+00									
5.36E+03	-2.53E-01	-1.36E+00									
5.38E+03	-2.51E-01	-1.35E+00									
0.00E+00	-8.00E-01	0.00E+00									
0.00E+00	-8.78E-01	0.00E+00									
0.00E+00	-8.89E-01	0.00E+00									
0.00E+00	-8.95E-01	0.00E+00									
0.00E+00	-8.98E-01	0.00E+00									
0.00E+00	-9.02E-01	0.00E+00									
3.86E+01	-9.02E-01	-3.49E-02									
8.96E+01	-8.41E-01	-7.53E-02									
1.40E+02	-7.93E-01	-1.11E-01									
1.93E+02	-7.72E-01	-1.49E-01									
2.45E+02	-7.56E-01	-1.86E-01									
