I/mA	Ewe/V	P/W						Current density 	Voltage	Power density
1.49E+03	-6.10E-01	-9.10E-01								
1.54E+03	-6.07E-01	-9.35E-01								
1.59E+03	-6.03E-01	-9.61E-01								
1.65E+03	-5.99E-01	-9.86E-01								
1.70E+03	-5.95E-01	-1.01E+00								
1.75E+03	-5.91E-01	-1.04E+00								
1.80E+03	-5.88E-01	-1.06E+00								
1.86E+03	-5.84E-01	-1.08E+00								
1.91E+03	-5.81E-01	-1.11E+00								
1.96E+03	-5.78E-01	-1.13E+00								
2.01E+03	-5.74E-01	-1.15E+00								
2.06E+03	-5.70E-01	-1.18E+00								
2.11E+03	-5.67E-01	-1.20E+00								
2.17E+03	-5.64E-01	-1.22E+00								
2.22E+03	-5.60E-01	-1.24E+00								
2.27E+03	-5.57E-01	-1.26E+00								
2.32E+03	-5.54E-01	-1.28E+00								
2.37E+03	-5.51E-01	-1.31E+00								
2.42E+03	-5.47E-01	-1.33E+00								
2.48E+03	-5.44E-01	-1.35E+00								
2.53E+03	-5.40E-01	-1.37E+00								
2.58E+03	-5.37E-01	-1.39E+00								
2.63E+03	-5.33E-01	-1.41E+00								
2.69E+03	-5.30E-01	-1.42E+00								
2.74E+03	-5.27E-01	-1.44E+00								
2.79E+03	-5.23E-01	-1.46E+00								
2.84E+03	-5.20E-01	-1.48E+00								
2.90E+03	-5.16E-01	-1.50E+00								
2.95E+03	-5.13E-01	-1.51E+00								
3.00E+03	-5.10E-01	-1.53E+00								
3.05E+03	-5.07E-01	-1.55E+00								
3.11E+03	-5.03E-01	-1.56E+00								
3.16E+03	-5.00E-01	-1.58E+00								
3.21E+03	-4.97E-01	-1.59E+00								
3.26E+03	-4.93E-01	-1.61E+00								
3.31E+03	-4.90E-01	-1.62E+00								
3.36E+03	-4.87E-01	-1.64E+00								
3.41E+03	-4.84E-01	-1.65E+00								
3.46E+03	-4.80E-01	-1.66E+00								
3.51E+03	-4.77E-01	-1.68E+00								
3.57E+03	-4.74E-01	-1.69E+00								
3.62E+03	-4.71E-01	-1.70E+00								
3.67E+03	-4.67E-01	-1.72E+00								
3.73E+03	-4.64E-01	-1.73E+00								
3.78E+03	-4.61E-01	-1.74E+00								
3.83E+03	-4.58E-01	-1.75E+00								
3.88E+03	-4.55E-01	-1.77E+00								
3.93E+03	-4.51E-01	-1.78E+00								
3.98E+03	-4.48E-01	-1.79E+00								
4.04E+03	-4.45E-01	-1.80E+00								
4.09E+03	-4.42E-01	-1.81E+00								
4.14E+03	-4.39E-01	-1.82E+00								
4.19E+03	-4.36E-01	-1.82E+00								
4.24E+03	-4.33E-01	-1.83E+00								
4.29E+03	-4.29E-01	-1.84E+00								
4.34E+03	-4.26E-01	-1.85E+00								
4.39E+03	-4.22E-01	-1.85E+00								
4.45E+03	-4.19E-01	-1.86E+00								
4.50E+03	-4.15E-01	-1.87E+00								
4.55E+03	-4.12E-01	-1.87E+00								
4.60E+03	-4.09E-01	-1.88E+00								
4.65E+03	-4.05E-01	-1.88E+00								
4.71E+03	-4.01E-01	-1.89E+00								
4.76E+03	-3.98E-01	-1.89E+00								
4.81E+03	-3.95E-01	-1.90E+00								
4.86E+03	-3.91E-01	-1.90E+00								
4.91E+03	-3.87E-01	-1.90E+00								
4.96E+03	-3.84E-01	-1.91E+00								
5.01E+03	-3.81E-01	-1.91E+00								
5.07E+03	-3.78E-01	-1.91E+00								
5.12E+03	-3.74E-01	-1.92E+00								
5.17E+03	-3.71E-01	-1.92E+00								
5.22E+03	-3.68E-01	-1.92E+00								
5.27E+03	-3.65E-01	-1.92E+00								
5.32E+03	-3.61E-01	-1.92E+00								
5.37E+03	-3.58E-01	-1.92E+00								
5.43E+03	-3.55E-01	-1.93E+00								
5.48E+03	-3.51E-01	-1.92E+00								
5.53E+03	-3.47E-01	-1.92E+00								
5.59E+03	-3.43E-01	-1.92E+00								
5.64E+03	-3.39E-01	-1.91E+00								
5.69E+03	-3.35E-01	-1.91E+00								
5.74E+03	-3.31E-01	-1.90E+00								
5.79E+03	-3.27E-01	-1.89E+00								
5.84E+03	-3.23E-01	-1.89E+00								
5.89E+03	-3.19E-01	-1.88E+00								
5.95E+03	-3.15E-01	-1.87E+00								
6.00E+03	-3.10E-01	-1.86E+00								
6.05E+03	-3.06E-01	-1.85E+00								
6.10E+03	-3.02E-01	-1.84E+00								
6.15E+03	-2.99E-01	-1.84E+00								
6.20E+03	-2.95E-01	-1.83E+00								
6.25E+03	-2.90E-01	-1.82E+00								
6.30E+03	-2.86E-01	-1.81E+00								
6.36E+03	-2.82E-01	-1.79E+00								
6.41E+03	-2.77E-01	-1.77E+00								
6.46E+03	-2.71E-01	-1.75E+00								
6.51E+03	-2.65E-01	-1.73E+00								
6.56E+03	-2.59E-01	-1.70E+00								
6.62E+03	-2.53E-01	-1.67E+00								
6.61E+03	-2.51E-01	-1.66E+00								
0.00E+00	-8.24E-01	0.00E+00								
0.00E+00	-9.05E-01	0.00E+00								
0.00E+00	-9.16E-01	0.00E+00								
0.00E+00	-9.21E-01	0.00E+00								
0.00E+00	-9.23E-01	0.00E+00								
0.00E+00	-9.26E-01	0.00E+00								
4.47E+01	-9.26E-01	-4.14E-02								
9.77E+01	-8.42E-01	-8.23E-02								
1.51E+02	-7.99E-01	-1.20E-01								
2.03E+02	-7.78E-01	-1.58E-01								
2.53E+02	-7.63E-01	-1.93E-01								
3.05E+02	-7.51E-01	-2.30E-01								
3.60E+02	-7.39E-01	-2.66E-01								
4.10E+02	-7.28E-01	-2.99E-01								
4.62E+02	-7.19E-01	-3.32E-01								
5.13E+02	-7.10E-01	-3.64E-01								
5.64E+02	-7.03E-01	-3.96E-01								
6.15E+02	-6.95E-01	-4.27E-01								
6.65E+02	-6.88E-01	-4.58E-01								
7.17E+02	-6.81E-01	-4.89E-01								
7.70E+02	-6.75E-01	-5.19E-01								
8.26E+02	-6.68E-01	-5.52E-01								
8.77E+02	-6.63E-01	-5.81E-01								
9.30E+02	-6.57E-01	-6.11E-01								
9.80E+02	-6.52E-01	-6.39E-01								
1.03E+03	-6.46E-01	-6.67E-01								
1.08E+03	-6.41E-01	-6.94E-01								
1.13E+03	-6.37E-01	-7.22E-01								
1.19E+03	-6.32E-01	-7.50E-01								
1.24E+03	-6.27E-01	-7.77E-01								
1.29E+03	-6.23E-01	-8.04E-01								
1.34E+03	-6.19E-01	-8.29E-01								
1.39E+03	-6.15E-01	-8.55E-01								
1.44E+03	-6.11E-01	-8.81E-01								
1.49E+03	-6.07E-01	-9.06E-01								
1.54E+03	-6.03E-01	-9.31E-01								
1.60E+03	-5.99E-01	-9.56E-01								
1.65E+03	-5.96E-01	-9.81E-01								
1.70E+03	-5.92E-01	-1.01E+00								
1.75E+03	-5.88E-01	-1.03E+00								
1.80E+03	-5.84E-01	-1.05E+00								
1.85E+03	-5.81E-01	-1.08E+00								
1.90E+03	-5.77E-01	-1.10E+00								
1.95E+03	-5.74E-01	-1.12E+00								
2.00E+03	-5.71E-01	-1.14E+00								
2.06E+03	-5.67E-01	-1.17E+00								
2.11E+03	-5.63E-01	-1.19E+00								
2.16E+03	-5.60E-01	-1.21E+00								
2.21E+03	-5.56E-01	-1.23E+00								
2.26E+03	-5.53E-01	-1.25E+00								
2.31E+03	-5.50E-01	-1.27E+00								
2.37E+03	-5.46E-01	-1.29E+00								
2.42E+03	-5.43E-01	-1.31E+00								
2.47E+03	-5.40E-01	-1.33E+00								
2.52E+03	-5.36E-01	-1.35E+00								
2.57E+03	-5.33E-01	-1.37E+00								
2.63E+03	-5.29E-01	-1.39E+00								
2.68E+03	-5.26E-01	-1.41E+00								
2.73E+03	-5.23E-01	-1.43E+00								
2.78E+03	-5.20E-01	-1.44E+00								
2.83E+03	-5.16E-01	-1.46E+00								
2.88E+03	-5.13E-01	-1.48E+00								
2.93E+03	-5.10E-01	-1.50E+00								
2.98E+03	-5.06E-01	-1.51E+00								
3.04E+03	-5.03E-01	-1.53E+00								
3.09E+03	-5.00E-01	-1.54E+00								
3.14E+03	-4.97E-01	-1.56E+00								
3.19E+03	-4.94E-01	-1.58E+00								
3.24E+03	-4.90E-01	-1.59E+00								
3.30E+03	-4.87E-01	-1.61E+00								
3.35E+03	-4.83E-01	-1.62E+00								
3.40E+03	-4.80E-01	-1.63E+00								
3.45E+03	-4.77E-01	-1.65E+00								
3.51E+03	-4.73E-01	-1.66E+00								
3.56E+03	-4.70E-01	-1.67E+00								
3.61E+03	-4.66E-01	-1.68E+00								
3.66E+03	-4.63E-01	-1.69E+00								
3.71E+03	-4.60E-01	-1.71E+00								
3.76E+03	-4.56E-01	-1.72E+00								
3.81E+03	-4.53E-01	-1.73E+00								
3.87E+03	-4.49E-01	-1.74E+00								
3.92E+03	-4.47E-01	-1.75E+00								
3.97E+03	-4.43E-01	-1.76E+00								
4.02E+03	-4.40E-01	-1.77E+00								
4.07E+03	-4.36E-01	-1.78E+00								
4.13E+03	-4.33E-01	-1.78E+00								
4.18E+03	-4.30E-01	-1.80E+00								
4.23E+03	-4.26E-01	-1.80E+00								
4.28E+03	-4.22E-01	-1.81E+00								
4.34E+03	-4.19E-01	-1.82E+00								
4.39E+03	-4.16E-01	-1.82E+00								
4.44E+03	-4.12E-01	-1.83E+00								
4.49E+03	-4.09E-01	-1.84E+00								
4.54E+03	-4.06E-01	-1.84E+00								
4.59E+03	-4.03E-01	-1.85E+00								
4.64E+03	-3.99E-01	-1.85E+00								
4.69E+03	-3.96E-01	-1.86E+00								
4.75E+03	-3.92E-01	-1.86E+00								
4.80E+03	-3.88E-01	-1.86E+00								
4.85E+03	-3.84E-01	-1.86E+00								
4.90E+03	-3.81E-01	-1.87E+00								
4.95E+03	-3.76E-01	-1.86E+00								
5.01E+03	-3.73E-01	-1.86E+00								
5.06E+03	-3.68E-01	-1.86E+00								
5.11E+03	-3.65E-01	-1.86E+00								
5.16E+03	-3.60E-01	-1.86E+00								
5.21E+03	-3.56E-01	-1.85E+00								
5.26E+03	-3.52E-01	-1.85E+00								
5.32E+03	-3.48E-01	-1.85E+00								
5.37E+03	-3.43E-01	-1.84E+00								
5.42E+03	-3.39E-01	-1.84E+00								
5.47E+03	-3.35E-01	-1.83E+00								
5.52E+03	-3.31E-01	-1.83E+00								
5.57E+03	-3.27E-01	-1.82E+00								
5.62E+03	-3.23E-01	-1.82E+00								
5.67E+03	-3.19E-01	-1.81E+00								
5.73E+03	-3.14E-01	-1.80E+00								
5.78E+03	-3.10E-01	-1.79E+00								
5.83E+03	-3.06E-01	-1.78E+00								
5.88E+03	-3.01E-01	-1.77E+00								
5.93E+03	-2.97E-01	-1.76E+00								
5.98E+03	-2.92E-01	-1.75E+00								
6.03E+03	-2.87E-01	-1.73E+00								
6.09E+03	-2.83E-01	-1.72E+00								
6.14E+03	-2.78E-01	-1.71E+00								
6.19E+03	-2.73E-01	-1.69E+00								
6.25E+03	-2.68E-01	-1.67E+00								
6.30E+03	-2.62E-01	-1.65E+00								
6.35E+03	-2.57E-01	-1.63E+00								
6.40E+03	-2.51E-01	-1.61E+00								
6.39E+03	-2.52E-01	-1.61E+00								
0.00E+00	-8.24E-01	0.00E+00								
0.00E+00	-9.06E-01	0.00E+00								
0.00E+00	-9.16E-01	0.00E+00								
0.00E+00	-9.20E-01	0.00E+00								
0.00E+00	-9.23E-01	0.00E+00								
0.00E+00	-9.26E-01	0.00E+00								
4.98E+01	-9.26E-01	-4.62E-02								
1.01E+02	-8.37E-01	-8.47E-02								
1.53E+02	-8.00E-01	-1.22E-01								
2.03E+02	-7.80E-01	-1.58E-01								
2.56E+02	-7.65E-01	-1.96E-01								
3.06E+02	-7.52E-01	-2.30E-01								
3.59E+02	-7.41E-01	-2.66E-01								
4.09E+02	-7.30E-01	-2.99E-01								
4.60E+02	-7.21E-01	-3.32E-01								
5.10E+02	-7.13E-01	-3.64E-01								
5.67E+02	-7.04E-01	-3.99E-01								
6.17E+02	-6.96E-01	-4.29E-01								
6.68E+02	-6.89E-01	-4.61E-01								
7.20E+02	-6.81E-01	-4.90E-01								
7.70E+02	-6.75E-01	-5.20E-01								
8.22E+02	-6.69E-01	-5.50E-01								
8.74E+02	-6.64E-01	-5.80E-01								
9.27E+02	-6.58E-01	-6.10E-01								
9.78E+02	-6.53E-01	-6.38E-01								
1.03E+03	-6.47E-01	-6.66E-01								
1.08E+03	-6.43E-01	-6.95E-01								
1.13E+03	-6.38E-01	-7.22E-01								
1.18E+03	-6.33E-01	-7.49E-01								
1.24E+03	-6.29E-01	-7.77E-01								
1.29E+03	-6.25E-01	-8.03E-01								
1.34E+03	-6.20E-01	-8.29E-01								
1.39E+03	-6.16E-01	-8.55E-01								
1.44E+03	-6.12E-01	-8.82E-01								
1.49E+03	-6.08E-01	-9.06E-01								
1.54E+03	-6.04E-01	-9.31E-01								
1.59E+03	-6.00E-01	-9.56E-01								
1.64E+03	-5.96E-01	-9.79E-01								
1.70E+03	-5.92E-01	-1.00E+00								
1.75E+03	-5.89E-01	-1.03E+00								
1.80E+03	-5.84E-01	-1.05E+00								
1.85E+03	-5.81E-01	-1.08E+00								
1.90E+03	-5.78E-01	-1.10E+00								
1.95E+03	-5.74E-01	-1.12E+00								
2.00E+03	-5.70E-01	-1.14E+00								
2.05E+03	-5.67E-01	-1.16E+00								
2.11E+03	-5.63E-01	-1.19E+00								
2.16E+03	-5.60E-01	-1.21E+00								
2.21E+03	-5.56E-01	-1.23E+00								
2.26E+03	-5.53E-01	-1.25E+00								
2.32E+03	-5.49E-01	-1.27E+00								
2.37E+03	-5.45E-01	-1.29E+00								
2.42E+03	-5.42E-01	-1.31E+00								
2.47E+03	-5.39E-01	-1.33E+00								
2.52E+03	-5.36E-01	-1.35E+00								
2.57E+03	-5.32E-01	-1.37E+00								
