I/mA	Ewe/V	P/W						Current density	Voltage	Power Density		
3.92E+03	-4.10E-01	-1.61E+00										
3.97E+03	-4.06E-01	-1.61E+00										
4.02E+03	-4.02E-01	-1.62E+00										
4.07E+03	-3.99E-01	-1.62E+00										
4.12E+03	-3.95E-01	-1.63E+00										
4.18E+03	-3.91E-01	-1.63E+00										
4.23E+03	-3.88E-01	-1.64E+00										
4.29E+03	-3.84E-01	-1.65E+00										
4.34E+03	-3.80E-01	-1.65E+00										
4.39E+03	-3.77E-01	-1.65E+00										
4.44E+03	-3.73E-01	-1.66E+00										
4.49E+03	-3.69E-01	-1.66E+00										
4.54E+03	-3.66E-01	-1.66E+00										
4.59E+03	-3.61E-01	-1.66E+00										
4.64E+03	-3.57E-01	-1.66E+00										
4.70E+03	-3.53E-01	-1.66E+00										
4.75E+03	-3.49E-01	-1.66E+00										
4.80E+03	-3.44E-01	-1.65E+00										
4.85E+03	-3.40E-01	-1.65E+00										
4.91E+03	-3.36E-01	-1.65E+00										
4.96E+03	-3.32E-01	-1.64E+00										
5.01E+03	-3.28E-01	-1.64E+00										
5.06E+03	-3.24E-01	-1.64E+00										
5.11E+03	-3.20E-01	-1.63E+00										
5.16E+03	-3.15E-01	-1.63E+00										
5.22E+03	-3.12E-01	-1.62E+00										
5.27E+03	-3.08E-01	-1.62E+00										
5.32E+03	-3.04E-01	-1.62E+00										
5.37E+03	-3.00E-01	-1.61E+00										
5.42E+03	-2.96E-01	-1.61E+00										
5.47E+03	-2.92E-01	-1.60E+00										
5.53E+03	-2.87E-01	-1.59E+00										
5.58E+03	-2.82E-01	-1.57E+00										
5.63E+03	-2.77E-01	-1.56E+00										
5.68E+03	-2.73E-01	-1.55E+00										
5.73E+03	-2.68E-01	-1.54E+00										
5.78E+03	-2.62E-01	-1.52E+00										
5.84E+03	-2.55E-01	-1.49E+00										
5.86E+03	-2.51E-01	-1.47E+00										
0.00E+00	-8.02E-01	0.00E+00										
0.00E+00	-9.02E-01	0.00E+00										
0.00E+00	-9.15E-01	0.00E+00										
0.00E+00	-9.21E-01	0.00E+00										
0.00E+00	-9.25E-01	0.00E+00										
0.00E+00	-9.29E-01	0.00E+00										
4.47E+01	-9.29E-01	-4.16E-02										
9.52E+01	-8.31E-01	-7.91E-02										
1.46E+02	-7.81E-01	-1.14E-01										
1.96E+02	-7.58E-01	-1.48E-01										
2.46E+02	-7.39E-01	-1.82E-01										
2.97E+02	-7.23E-01	-2.15E-01										
3.47E+02	-7.09E-01	-2.46E-01										
3.98E+02	-6.98E-01	-2.77E-01										
4.48E+02	-6.87E-01	-3.08E-01										
4.98E+02	-6.77E-01	-3.38E-01										
5.49E+02	-6.69E-01	-3.68E-01										
6.00E+02	-6.62E-01	-3.97E-01										
6.51E+02	-6.53E-01	-4.26E-01										
7.02E+02	-6.47E-01	-4.54E-01										
7.53E+02	-6.41E-01	-4.82E-01										
8.05E+02	-6.35E-01	-5.11E-01										
8.58E+02	-6.29E-01	-5.39E-01										
9.09E+02	-6.23E-01	-5.66E-01										
9.60E+02	-6.18E-01	-5.93E-01										
1.01E+03	-6.12E-01	-6.19E-01										
1.07E+03	-6.07E-01	-6.50E-01										
1.12E+03	-6.02E-01	-6.75E-01										
1.17E+03	-5.97E-01	-7.00E-01										
1.23E+03	-5.92E-01	-7.26E-01										
1.28E+03	-5.88E-01	-7.50E-01										
1.33E+03	-5.83E-01	-7.74E-01										
1.38E+03	-5.79E-01	-8.00E-01										
1.43E+03	-5.75E-01	-8.23E-01										
1.48E+03	-5.71E-01	-8.46E-01										
1.53E+03	-5.67E-01	-8.70E-01										
1.58E+03	-5.63E-01	-8.92E-01										
1.64E+03	-5.60E-01	-9.16E-01										
1.69E+03	-5.56E-01	-9.39E-01										
1.74E+03	-5.52E-01	-9.61E-01										
1.79E+03	-5.48E-01	-9.82E-01										
1.84E+03	-5.45E-01	-1.00E+00										
1.89E+03	-5.41E-01	-1.02E+00										
1.95E+03	-5.37E-01	-1.05E+00										
2.01E+03	-5.34E-01	-1.07E+00										
2.06E+03	-5.30E-01	-1.09E+00										
2.11E+03	-5.27E-01	-1.11E+00										
2.16E+03	-5.23E-01	-1.13E+00										
2.21E+03	-5.20E-01	-1.15E+00										
2.26E+03	-5.17E-01	-1.17E+00										
2.31E+03	-5.14E-01	-1.19E+00										
2.37E+03	-5.10E-01	-1.21E+00										
2.42E+03	-5.07E-01	-1.23E+00										
2.48E+03	-5.04E-01	-1.25E+00										
2.53E+03	-5.01E-01	-1.27E+00										
2.59E+03	-4.97E-01	-1.29E+00										
2.64E+03	-4.94E-01	-1.30E+00										
2.69E+03	-4.90E-01	-1.32E+00										
2.75E+03	-4.87E-01	-1.34E+00										
2.80E+03	-4.84E-01	-1.35E+00										
2.85E+03	-4.81E-01	-1.37E+00										
2.91E+03	-4.77E-01	-1.39E+00										
2.96E+03	-4.74E-01	-1.40E+00										
3.01E+03	-4.71E-01	-1.42E+00										
3.06E+03	-4.67E-01	-1.43E+00										
3.11E+03	-4.64E-01	-1.45E+00										
