I/mA	Ewe/V	P/W						Current density 	Voltage	Power density		
3.96E+03	-4.78E-01	-1.90E+00										
4.01E+03	-4.76E-01	-1.91E+00										
4.07E+03	-4.73E-01	-1.92E+00										
4.12E+03	-4.70E-01	-1.94E+00										
4.17E+03	-4.68E-01	-1.95E+00										
4.22E+03	-4.65E-01	-1.96E+00										
4.27E+03	-4.62E-01	-1.98E+00										
4.32E+03	-4.60E-01	-1.99E+00										
4.38E+03	-4.57E-01	-2.00E+00										
4.43E+03	-4.54E-01	-2.01E+00										
4.48E+03	-4.52E-01	-2.02E+00										
4.53E+03	-4.49E-01	-2.04E+00										
4.58E+03	-4.46E-01	-2.05E+00										
4.63E+03	-4.44E-01	-2.06E+00										
4.69E+03	-4.41E-01	-2.07E+00										
4.74E+03	-4.38E-01	-2.08E+00										
4.79E+03	-4.36E-01	-2.09E+00										
4.84E+03	-4.33E-01	-2.10E+00										
4.89E+03	-4.31E-01	-2.11E+00										
4.94E+03	-4.28E-01	-2.11E+00										
4.99E+03	-4.25E-01	-2.12E+00										
5.04E+03	-4.23E-01	-2.13E+00										
5.09E+03	-4.20E-01	-2.14E+00										
5.15E+03	-4.17E-01	-2.15E+00										
5.20E+03	-4.15E-01	-2.16E+00										
5.25E+03	-4.12E-01	-2.16E+00										
5.30E+03	-4.09E-01	-2.17E+00										
5.35E+03	-4.07E-01	-2.18E+00										
5.40E+03	-4.04E-01	-2.18E+00										
5.45E+03	-4.01E-01	-2.19E+00										
5.50E+03	-3.99E-01	-2.19E+00										
5.56E+03	-3.96E-01	-2.20E+00										
5.61E+03	-3.94E-01	-2.21E+00										
5.66E+03	-3.91E-01	-2.21E+00										
5.71E+03	-3.88E-01	-2.22E+00										
5.76E+03	-3.86E-01	-2.22E+00										
5.82E+03	-3.83E-01	-2.23E+00										
5.87E+03	-3.80E-01	-2.23E+00										
5.92E+03	-3.78E-01	-2.24E+00										
5.97E+03	-3.75E-01	-2.24E+00										
6.02E+03	-3.72E-01	-2.24E+00										
6.07E+03	-3.70E-01	-2.25E+00										
6.12E+03	-3.67E-01	-2.25E+00										
6.17E+03	-3.65E-01	-2.25E+00										
6.22E+03	-3.62E-01	-2.25E+00										
6.28E+03	-3.59E-01	-2.26E+00										
6.33E+03	-3.57E-01	-2.26E+00										
6.38E+03	-3.54E-01	-2.26E+00										
6.43E+03	-3.51E-01	-2.26E+00										
6.48E+03	-3.48E-01	-2.26E+00										
6.54E+03	-3.45E-01	-2.26E+00										
6.59E+03	-3.42E-01	-2.25E+00										
6.64E+03	-3.39E-01	-2.25E+00										
6.69E+03	-3.36E-01	-2.25E+00										
6.74E+03	-3.33E-01	-2.25E+00										
6.79E+03	-3.31E-01	-2.25E+00										
6.84E+03	-3.28E-01	-2.24E+00										
6.90E+03	-3.25E-01	-2.24E+00										
6.95E+03	-3.22E-01	-2.24E+00										
7.00E+03	-3.19E-01	-2.23E+00										
7.05E+03	-3.16E-01	-2.23E+00										
7.10E+03	-3.13E-01	-2.22E+00										
7.15E+03	-3.11E-01	-2.22E+00										
7.20E+03	-3.08E-01	-2.22E+00										
7.25E+03	-3.05E-01	-2.22E+00										
7.31E+03	-3.02E-01	-2.21E+00										
7.36E+03	-2.99E-01	-2.20E+00										
7.42E+03	-2.96E-01	-2.19E+00										
7.47E+03	-2.93E-01	-2.19E+00										
7.52E+03	-2.90E-01	-2.18E+00										
7.58E+03	-2.87E-01	-2.18E+00										
7.63E+03	-2.84E-01	-2.17E+00										
7.68E+03	-2.81E-01	-2.16E+00										
7.73E+03	-2.79E-01	-2.15E+00										
7.78E+03	-2.76E-01	-2.14E+00										
7.83E+03	-2.73E-01	-2.14E+00										
7.88E+03	-2.69E-01	-2.12E+00										
7.94E+03	-2.66E-01	-2.11E+00										
7.99E+03	-2.63E-01	-2.10E+00										
8.04E+03	-2.60E-01	-2.09E+00										
8.09E+03	-2.57E-01	-2.08E+00										
8.15E+03	-2.53E-01	-2.06E+00										
8.16E+03	-2.51E-01	-2.05E+00										
0.00E+00	-8.55E-01	0.00E+00										
0.00E+00	-9.40E-01	0.00E+00										
0.00E+00	-9.50E-01	0.00E+00										
0.00E+00	-9.54E-01	0.00E+00										
0.00E+00	-9.57E-01	0.00E+00										
0.00E+00	-9.60E-01	0.00E+00										
4.98E+01	-9.60E-01	-4.78E-02										
1.03E+02	-8.64E-01	-8.88E-02										
1.53E+02	-8.23E-01	-1.26E-01										
2.04E+02	-8.03E-01	-1.63E-01										
2.58E+02	-7.86E-01	-2.02E-01										
3.09E+02	-7.73E-01	-2.39E-01										
3.60E+02	-7.62E-01	-2.74E-01										
4.12E+02	-7.52E-01	-3.10E-01										
4.66E+02	-7.42E-01	-3.46E-01										
5.19E+02	-7.33E-01	-3.80E-01										
5.69E+02	-7.25E-01	-4.13E-01										
6.23E+02	-7.18E-01	-4.47E-01										
6.74E+02	-7.10E-01	-4.78E-01										
7.28E+02	-7.03E-01	-5.11E-01										
7.78E+02	-6.96E-01	-5.42E-01										
8.29E+02	-6.90E-01	-5.72E-01										
8.80E+02	-6.85E-01	-6.02E-01										
9.31E+02	-6.79E-01	-6.32E-01										
9.82E+02	-6.73E-01	-6.61E-01										
1.03E+03	-6.68E-01	-6.90E-01										
1.09E+03	-6.63E-01	-7.19E-01										
1.14E+03	-6.57E-01	-7.47E-01										
1.19E+03	-6.54E-01	-7.76E-01										
1.24E+03	-6.48E-01	-8.01E-01										
1.29E+03	-6.43E-01	-8.29E-01										
1.34E+03	-6.39E-01	-8.55E-01										
1.39E+03	-6.34E-01	-8.81E-01										
1.44E+03	-6.30E-01	-9.07E-01										
1.49E+03	-6.25E-01	-9.33E-01										
1.54E+03	-6.21E-01	-9.59E-01										
1.60E+03	-6.16E-01	-9.83E-01										
1.65E+03	-6.12E-01	-1.01E+00										
1.70E+03	-6.08E-01	-1.03E+00										
1.75E+03	-6.04E-01	-1.06E+00										
1.80E+03	-6.00E-01	-1.08E+00										
1.86E+03	-5.96E-01	-1.11E+00										
1.91E+03	-5.92E-01	-1.13E+00										
1.96E+03	-5.88E-01	-1.15E+00										
2.01E+03	-5.84E-01	-1.17E+00										
2.06E+03	-5.81E-01	-1.20E+00										
2.11E+03	-5.77E-01	-1.22E+00										
2.16E+03	-5.74E-01	-1.24E+00										
2.22E+03	-5.70E-01	-1.26E+00										
2.27E+03	-5.67E-01	-1.28E+00										
2.32E+03	-5.63E-01	-1.30E+00										
2.37E+03	-5.60E-01	-1.33E+00										
2.42E+03	-5.56E-01	-1.35E+00										
2.47E+03	-5.53E-01	-1.37E+00										
2.53E+03	-5.49E-01	-1.39E+00										
