I/mA	Ewe/V	P/W						Current density 	Voltage	Power density
2.02E+03	-4.87E-01	-9.82E-01								
2.07E+03	-4.82E-01	-9.98E-01								
2.12E+03	-4.77E-01	-1.01E+00								
2.18E+03	-4.72E-01	-1.03E+00								
2.23E+03	-4.68E-01	-1.04E+00								
2.28E+03	-4.63E-01	-1.06E+00								
2.34E+03	-4.58E-01	-1.07E+00								
2.39E+03	-4.53E-01	-1.08E+00								
2.44E+03	-4.48E-01	-1.09E+00								
2.49E+03	-4.43E-01	-1.10E+00								
2.54E+03	-4.38E-01	-1.11E+00								
2.60E+03	-4.33E-01	-1.12E+00								
2.65E+03	-4.28E-01	-1.13E+00								
2.70E+03	-4.23E-01	-1.14E+00								
2.75E+03	-4.18E-01	-1.15E+00								
2.80E+03	-4.12E-01	-1.16E+00								
2.85E+03	-4.07E-01	-1.16E+00								
2.91E+03	-4.02E-01	-1.17E+00								
2.96E+03	-3.96E-01	-1.17E+00								
3.01E+03	-3.91E-01	-1.17E+00								
3.06E+03	-3.85E-01	-1.18E+00								
3.11E+03	-3.79E-01	-1.18E+00								
3.16E+03	-3.72E-01	-1.18E+00								
3.21E+03	-3.66E-01	-1.18E+00								
3.27E+03	-3.59E-01	-1.17E+00								
3.32E+03	-3.53E-01	-1.17E+00								
3.37E+03	-3.46E-01	-1.17E+00								
3.42E+03	-3.39E-01	-1.16E+00								
3.47E+03	-3.31E-01	-1.15E+00								
3.53E+03	-3.23E-01	-1.14E+00								
3.58E+03	-3.14E-01	-1.13E+00								
3.63E+03	-3.06E-01	-1.11E+00								
3.68E+03	-2.96E-01	-1.09E+00								
3.73E+03	-2.86E-01	-1.07E+00								
3.78E+03	-2.76E-01	-1.05E+00								
3.84E+03	-2.65E-01	-1.01E+00								
3.89E+03	-2.52E-01	-9.79E-01								
3.87E+03	-2.52E-01	-9.74E-01								
0.00E+00	-7.80E-01	0.00E+00								
0.00E+00	-8.79E-01	0.00E+00								
0.00E+00	-8.91E-01	0.00E+00								
0.00E+00	-8.97E-01	0.00E+00								
0.00E+00	-9.00E-01	0.00E+00								
0.00E+00	-9.03E-01	0.00E+00								
5.14E+01	-9.04E-01	-4.64E-02								
1.02E+02	-8.05E-01	-8.20E-02								
1.53E+02	-7.64E-01	-1.17E-01								
2.04E+02	-7.38E-01	-1.50E-01								
2.59E+02	-7.17E-01	-1.85E-01								
3.10E+02	-6.99E-01	-2.17E-01								
3.61E+02	-6.85E-01	-2.48E-01								
4.12E+02	-6.72E-01	-2.77E-01								
4.65E+02	-6.62E-01	-3.08E-01								
5.15E+02	-6.51E-01	-3.35E-01								
5.67E+02	-6.42E-01	-3.64E-01								
6.18E+02	-6.33E-01	-3.91E-01								
6.71E+02	-6.25E-01	-4.20E-01								
